Year,NHGISST,NHGISCTY,STATENAM,NHGISNAM,ICPSRST,ICPSRCTY,area_base,NHGISST_1950,NHGISCTY_1950,STATENAM_1950,NHGISNAM_1950,ICPSRST_1950,ICPSRCTY_1950,area,weight,US_STATE
1900,450,0010,South Carolina,Abbeville,48,10,1800257771.796111,450,0010,South Carolina,Abbeville,48,10,1323464984.6144037,0.7351530460518431,1
1900,450,0010,South Carolina,Abbeville,48,10,1800257771.796111,450,0650,South Carolina,Mccormick,48,650,476792787.1816921,0.2648469539481569,1
1900,450,0070,South Carolina,Anderson,48,70,1961699225.768567,450,0070,South Carolina,Anderson,48,70,1961699225.768569,1.0,1
1900,130,1050,Georgia,Elbert,44,1050,969213786.7578931,130,1050,Georgia,Elbert,44,1050,969213786.7578952,1.0,1
1900,450,0470,South Carolina,Greenwood,48,470,1353284559.111958,450,0470,South Carolina,Greenwood,48,470,1198971944.254749,0.8859717907677396,1
1900,450,0470,South Carolina,Greenwood,48,470,1353284559.111958,450,0650,South Carolina,Mccormick,48,650,154312614.8572052,0.11402820923226042,1
1900,450,0590,South Carolina,Laurens,48,590,1874732786.79738,450,0590,South Carolina,Laurens,48,590,1874732786.797382,1.0,1
1900,130,1810,Georgia,Lincoln,44,1810,674610989.3025047,130,1810,Georgia,Lincoln,44,1810,666377013.8379569,0.9877944836429935,1
1900,130,1810,Georgia,Lincoln,44,1810,674610989.3025047,130,3170,Georgia,Wilkes,44,3170,8233975.464548135,0.01220551635700661,1
1900,450,0370,South Carolina,Edgefield,48,370,1701395455.093455,450,0650,South Carolina,Mccormick,48,650,389114075.54542845,0.22870288722023616,1
1900,450,0370,South Carolina,Edgefield,48,370,1701395455.093455,450,0370,South Carolina,Edgefield,48,370,1312281379.5480156,0.7712970545393363,1
1900,450,0370,South Carolina,Edgefield,48,370,1701395455.093455,130,2450,Georgia,Richmond,44,2450,99.09000450382135,5.824042754794763e-08,1
1900,220,0010,Louisiana,Acadia,45,10,1702799435.6483521,220,0010,Louisiana,Acadia,45,10,1702799435.6483543,1.0,1
1900,220,0970,Louisiana,St Landry,45,970,4192170328.6406364,220,0390,Louisiana,Evangeline,45,390,1760218939.968677,0.4198824956951235,1
1900,220,0970,Louisiana,St Landry,45,970,4192170328.6406364,220,0970,Louisiana,St Landry,45,970,2431951388.6719613,0.5801175043048766,1
1900,220,0190,Louisiana,Calcasieu,45,190,9543095498.29821,220,0530,Louisiana,Jefferson Davis,45,530,1705651032.2786133,0.178731422375913,1
1900,220,0190,Louisiana,Calcasieu,45,190,9543095498.29821,220,0030,Louisiana,Allen,45,30,1983808427.3324282,0.2078789243687041,1
1900,220,0190,Louisiana,Calcasieu,45,190,9543095498.29821,220,0110,Louisiana,Beauregard,45,110,3019523323.8539844,0.3164092117065077,1
1900,220,0190,Louisiana,Calcasieu,45,190,9543095498.29821,220,0190,Louisiana,Calcasieu,45,190,2834112714.825362,0.29698044154887515,1
1900,220,0550,Louisiana,Lafayette,45,550,700079662.9665954,220,0550,Louisiana,Lafayette,45,550,700079662.9665965,1.0,1
1900,220,1130,Louisiana,Vermillion,45,1130,3368920117.064382,220,1130,Louisiana,Vermillion,45,1130,3368920117.0643787,1.0,1
1900,510,0010,Virginia,Accomack,40,10,1191022981.3166082,510,0010,Virginia,Accomack,40,10,1191022981.3166082,1.0,1
1900,510,1310,Virginia,Northampton,40,1310,558167623.221611,510,1310,Virginia,Northampton,40,1310,558167623.2216115,1.0,1
